%eval_id	interface	vel____	theta__	A______	B______	n______	c______	s______	d______	pc_____	uc_____	k1_____	k2_____	k3_____	pl_____	ul_____	obj_fn
45	NO_ID	423.1128199	0.933900457	0.327264936	1.116285311	0.635792886	0.011538001	6.167360725	0.019488521	14717247.06	0.00286795	1129203055	5024818627	8774489765	160922211	0.344347615	369.2748
47	NO_ID	444.1364302	0.348200238	0.328577282	1.159783518	0.735064143	0.010112565	9.303753625	0.023128268	21681425.48	0.003751981	1178758029	5360409044	8223952877	156441232.8	0.342821749	385.348
48	NO_ID	566.951107	5.706118747	0.27392156	1.149057528	0.709353681	0.011658623	7.210363424	0.020190768	9663595.183	0.001785248	1042995342	5250979398	8982795500	165770735.7	0.337472944	511.8022
49	NO_ID	702.013765	3.390213804	0.309899224	1.099653195	0.765372589	0.009847409	9.353417384	0.021948573	17826925.54	0.005157425	1039315195	4586693597	9040085088	161451449.8	0.348809919	637.2364
50	NO_ID	533.2957324	1.994440855	0.323450448	1.063952598	0.664838601	0.010547304	9.847809627	0.020252294	4678236.563	0.005471885	1108599012	5091852170	8081566504	166333687.5	0.342125205	481.2762
51	NO_ID	641.7075782	2.170556554	0.284402373	1.03457139	0.761241515	0.011582118	9.589818587	0.023657349	15360287.22	0.0029979	1205205976	4748712710	8634723265	146197719.7	0.379926538	581.0176
52	NO_ID	473.3662473	4.319706871	0.295046213	1.048743015	0.754752676	0.010198553	9.453611873	0.020169357	10095136.3	0.001417232	1082504370	4861499180	8170288751	147358502.6	0.333674442	423.4324
53	NO_ID	631.0790848	1.814673628	0.291445127	1.114880332	0.651282524	0.010211102	8.560922882	0.020886875	22997731.71	0.005946537	1254858720	4557646586	8795613347	158288995.8	0.381225011	569.2611
54	NO_ID	686.7546706	4.789107714	0.302981907	1.164309795	0.662897411	0.010295185	9.047102416	0.019938737	17762134.04	0.003391501	1113614425	4756271459	8311894092	147701536.8	0.334422822	624.2059
55	NO_ID	629.706319	4.342930907	0.310829043	0.997445294	0.680219451	0.011127491	8.016086911	0.021596684	6224716.318	0.002892702	1075616127	5396246444	9041158140	150421039.2	0.346791819	575.1031
56	NO_ID	577.7039731	4.674786117	0.3278403	1.002640312	0.676912397	0.010772419	8.123113117	0.020672509	11934670.25	0.001592915	1259179579	4699150419	9236798344	144856826	0.373929702	522.7775
57	NO_ID	665.7626823	1.383149753	0.278294614	1.172068857	0.73461908	0.01124646	5.862282979	0.020628964	17198415.41	0.00122827	1219688044	4613512939	7775731701	151589015.8	0.336513218	601.5127
58	NO_ID	386.4684412	2.918702004	0.307577159	1.152318686	0.724764336	0.009929386	8.862270491	0.021159021	23109400.95	0.006048914	1066531171	5302973293	8178468413	172489395.5	0.344613042	330.9971
59	NO_ID	605.6244779	5.360680662	0.312235345	1.086320789	0.638893722	0.010168578	5.949511681	0.019585853	6491656.141	0.002335781	1222720640	4919140924	7886958808	147156493.8	0.388703696	551.2683
60	NO_ID	646.8042766	5.96242096	0.305533437	1.050828736	0.696791316	0.010766442	8.322924545	0.01969293	19564413.51	0.001680947	1154737540	5340635816	8367872443	171968891.1	0.36421768	585.5612
61	NO_ID	700.5823167	5.060515568	0.306062249	0.986888774	0.711339727	0.010673014	7.393085581	0.021542893	12621175	0.004125354	1161325838	4555481376	8867731322	143505818	0.366641313	639.5299
62	NO_ID	472.7209537	3.591143241	0.326618861	1.031541119	0.756722725	0.01072061	8.756988571	0.020065469	21709555.45	0.00294587	1051354172	4858104336	8405596290	142766596.7	0.369296369	419.2461
63	NO_ID	530.7438206	2.174942121	0.301434605	1.134692378	0.748568017	0.011477513	9.67749298	0.020212541	20701257.66	0.001834687	1170263784	5376949345	9026776741	154924816.8	0.385839998	470.9707
64	NO_ID	435.8330987	3.241241177	0.327565984	1.052735118	0.732160963	0.011373	6.206612339	0.020280284	16094991.11	0.004710893	1042615003	5270031289	7896940288	160366647	0.390669038	385.0248
